
Exports by,2017,2017-2017,Percentage,2022,2022-2022,Percentage,Sum total years,Percentage of total
United States,11409,11409,37%,15351,15351,45%,26760,41%
Russia,6356,6356,20%,2510,2510,7.4%,8866,14%
France,2319,2319,7.4%,3123,3123,9.2%,5441,8.4%
China,1624,1624,5.2%,2280,2280,6.7%,3904,6.0%
Germany,1841,1841,5.9%,1489,1489,4.4%,3331,5.1%
United Kingdom,1105,1105,3.5%,1711,1711,5.1%,2816,4.3%
Italy,704,704,2.3%,1711,1711,5.1%,2416,3.7%
Israel,1193,1193,3.8%,1050,1050,3.1%,2243,3.5%
Spain,820,820,2.6%,1018,1018,3.0%,1837,2.8%
Netherlands,1070,1070,3.4%,324,324,1.0%,1394,2.1%
South Korea,700,700,2.2%,220,220,0.6%,920,1.4%
Turkiye,177,177,0.6%,589,589,1.7%,766,1.2%
Poland,8,8,0.0%,707,707,2.1%,715,1.1%
Ukraine,384,384,1.2%,102,102,0.3%,486,0.7%
Switzerland,175,175,0.6%,176,176,0.5%,350,0.5%
Czechia,90,90,0.3%,163,163,0.5%,253,0.4%
Canada,63,63,0.2%,179,179,0.5%,241,0.4%
Belgium,17,17,0.1%,146,146,0.4%,163,0.3%
South Africa,95,95,0.3%,68,68,0.2%,163,0.3%
Sweden,79,79,0.3%,83,83,0.2%,162,0.2%
Jordan,80,80,0.3%,53,53,0.2%,133,0.2%
Norway,98,98,0.3%,31,31,0.1%,129,0.2%
UAE,103,103,0.3%,18,18,0.1%,121,0.2%
Australia,100,100,0.3%,19,19,0.1%,119,0.2%
Belarus,52,52,0.2%,58,58,0.2%,110,0.2%
Iran,24,24,0.1%,83,83,0.2%,107,0.2%
Indonesia,94,94,0.3%,,,0.0%,94,0.1%
Slovakia,22,22,0.1%,71,71,0.2%,93,0.1%
Denmark,13,13,0.0%,78,78,0.2%,91,0.1%
Finland,28,28,0.1%,40,40,0.1%,68,0.1%
Bulgaria,33,33,0.1%,34,34,0.1%,67,0.1%
India,56,56,0.2%,7,7,0.0%,63,0.1%
unknown supplier(s),7,7,0.0%,53,53,0.2%,60,0.1%
Portugal,56,56,0.2%,2,2,0.0%,58,0.1%
Ireland,,,0.0%,46,46,0.1%,46,0.1%
Brazil,36,36,0.1%,7,7,0.0%,43,0.1%
Egypt,,,0.0%,41,41,0.1%,41,0.1%
Slovenia,,,0.0%,38,38,0.1%,38,0.1%
Greece,30,30,0.1%,7,7,0.0%,37,0.1%
Singapore,,,0.0%,36,36,0.1%,36,0.1%
North Macedonia,,,0.0%,31,31,0.1%,31,0.0%
New Zealand,,,0.0%,29,29,0.1%,29,0.0%
Lithuania,,,0.0%,25,25,0.1%,25,0.0%
Austria,22,22,0.1%,3,3,0.0%,25,0.0%
Morocco,,,0.0%,21,21,0.1%,21,0.0%
Serbia,11,11,0.0%,,,0.0%,11,0.0%
Latvia,,,0.0%,11,11,0.0%,11,0.0%
Colombia,10,10,0.0%,,,0.0%,10,0.0%
Estonia,,,0.0%,9,9,0.0%,9,0.0%
Chile,,,0.0%,8,8,0.0%,8,0.0%
Oman,7,7,0.0%,,,0.0%,7,0.0%
Georgia,7,7,0.0%,,,0.0%,7,0.0%
Croatia,3,3,0.0%,4,4,0.0%,7,0.0%
Kyrgyzstan,5,5,0.0%,,,0.0%,5,0.0%
Montenegro,1,1,0.0%,4,4,0.0%,5,0.0%
Dominican Republic,4,4,0.0%,0 ,0 ,0.0%,4,0.0%
Pakistan,3,3,0.0%,1,1,0.0%,4,0.0%
Nigeria,,,0.0%,3,3,0.0%,3,0.0%
Japan,2,2,0.0%,,,0.0%,2,0.0%
Thailand,2,2,0.0%,,,0.0%,2,0.0%
Taiwan,2,2,0.0%,,,0.0%,2,0.0%
Bosnia-Herzegovina,,,0.0%,2,2,0.0%,2,0.0%
Romania,,,0.0%,1,1,0.0%,1,0.0%
Qatar,,,0.0%,1,1,0.0%,1,0.0%
Ecuador,,,0.0%,,,0.0%,,0.0%
European Union**,,,0.0%,,,0.0%,,0.0%
HoR (Libya)*,,,0.0%,,,0.0%,,0.0%
Hungary,,,0.0%,,,0.0%,,0.0%
Malaysia,,,0.0%,,,0.0%,,0.0%
Mexico,,,0.0%,,,0.0%,,0.0%
Panama,,,0.0%,,,0.0%,,0.0%
Viet Nam,,,0.0%,,,0.0%,0,0.0%
Total world export,31140,31140,100%,33871,33871,100%,65011,

